forecast_id,issued_at,valid_time,turbine_id,horizon_hours,power_normalized,weather_run_time,weather_available_at,model_version,input_hash,status,actual
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-30T19:00:00Z,turbine_1,25,0.517092748124209,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.1383333333333333
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-30T20:00:00Z,turbine_1,26,0.5648384590710905,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.1433333333333333
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-30T21:00:00Z,turbine_1,27,0.5867805654518423,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.1866666666666666
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-30T22:00:00Z,turbine_1,28,0.5547105809914492,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.13
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-30T23:00:00Z,turbine_1,29,0.5604979398941013,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.0783333333333333
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-31T00:00:00Z,turbine_1,30,0.5518169015401229,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.1116666666666666
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-31T01:00:00Z,turbine_1,31,0.5532637412657859,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.145
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-31T02:00:00Z,turbine_1,32,0.5691789782480798,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.48
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-31T03:00:00Z,turbine_1,33,0.6369116046059518,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.5016666666666666
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-31T04:00:00Z,turbine_1,34,0.695652983411997,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.5216666666666666
